,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
874,122,"7/11/20, 01:03 - Alex Notitia: Good morning, everyone.
",Alex Notitia,"Good morning, everyone.",good morning everyone,11-07-2020 1.03,1,5
875,124,"7/11/20, 01:05 - Alex Notitia: Please check the document for information update on the platform.
",Alex Notitia,Please check the document for information update on the platform.,please check the document for information update on the platform,11-07-2020 1.05,1,5
876,165,"7/11/20, 11:43 - Ḅj: its great Alex!
",Ḅj,its great Alex!,its great alex,11-07-2020 11.43,11,5
877,166,"7/11/20, 11:44 - Ḅj: I love the creative use of illustrative designs, it really makes the UI very engaging
",Ḅj,"I love the creative use of illustrative designs, it really makes the UI very engaging",i love the creative use of illustrative designs it really makes the ui very engaging,11-07-2020 11.44,11,5
878,167,"7/11/20, 11:48 - Ḅj: 🙌🙌
",Ḅj,🙌🙌,,11-07-2020 11.48,11,5
879,125,"7/11/20, 11:48 - Alex Notitia: 👍
",Alex Notitia,👍,,11-07-2020 11.48,11,5
880,126,"7/11/20, 11:49 - Alex Notitia: The aim is to get a very good investor onboard.
",Alex Notitia,The aim is to get a very good investor onboard.,the aim is to get a very good investor onboard,11-07-2020 11.49,11,5
881,168,"7/11/20, 11:50 - Ḅj: i agree
",Ḅj,i agree,i agree,11-07-2020 11.50,11,5
882,79,"7/11/20, 12:50 - Adwoa Notitia: Awesome 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾
",Adwoa Notitia,Awesome 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,awesome ,11-07-2020 12.50,12,5
883,127,"7/11/20, 12:51 - Alex Notitia: Please do register so i can approve your access to the dashboard.
",Alex Notitia,Please do register so i can approve your access to the dashboard.,please do register so i can approve your access to the dashboard,11-07-2020 12.51,12,5
884,80,"7/11/20, 12:56 - Adwoa Notitia: Ok
",Adwoa Notitia,Ok,ok,11-07-2020 12.56,12,5
